name,image,class,class type,subclass,magic,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Savage Lynel Shield,BotW_Savage_Lynel_Shield_Icon.png?version=94e7198ddae5c7532fd205177d290215 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/loY8Ws5W57CM81DpzbCmlw/4VOJMo9qr5y3mRf4gIk0cCQXv1StLu0v8YW9fwLIJlzpNlsRH5NG8SR6JXHsKlVqFDNvpgGIVrTfFx0A3xndWeE5wVXlIa4yu0x-ygMlbhEpoDIxFNFwW43IT02PVciw5orZkK4O2fC310144T_7_DVnZNruEXKVyJkBGxBkKp0qFIZx8OTc2yO9aBIBC_JY/8I-zEXUrwfzF3VsCYqFJ5NFYQjTngMxAkfgIQIv3GKs),Shield,Shield,,,,20,62,,,,,,,,,This ultimate Lynel shield is used only by the white-haired Lynels. It excels at defending against even the most brutal of attacks and cutting down powerful fores when deflecting.,,,,,,,,,
Shield of the Mind's Eye,BotW_Shield_of_the_Mind%27s_Eye_Icon.png?version=6a72e03bc2fe337eff61155b764eed98 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/rFqhfb8BnAR3C1PZcp5GBg/oSm3inH-T4Pv0nbe2LZCHRTHEXyK5ShweD0RAp6-eDvI1yhOm1Zgr1ezkQeBLTR1vCVnBsNxnTuB9dT4yrXgrUyzl8GFwVFbdVIYj__9XaU8ds0IkQ5XJknD08AD8JcMC3MyOPsF-_a8oo08rEbJ19-K1KXZAleNX5EBLIr-noq-LETpaZG-sJmla4rqlEPR/3S_D-94562pVRKytc27C6D6n42iwhvRWEjB_M4iduqc),Shield,Shield,,,,16,16,,,,,,,,,A small Sheikah-made shield. Its design is intended to decrease blind spots without sacrificing too much defense.,,,,,,,,,
Silver Shield,BotW_Silver_Shield_Icon.png?version=d7a5f3037a0108ce0891e43cd4b9ec9a (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/W8Kf6HlbbOqbAMhRczxTAg/8x2LG-HNGW04rN7vT28zwVQzKo0LXgWAoCnyVpInftN0pfohBa20PzfXb0aOnxpI0KLW3A8TNbVibLtICvyeCsFdjA6wU-GyS5RKlGNOE4kvlz8tjDBHwtyO_LNGAe81VLQdbmOGHRmiUGj-Zcz2JSq4Adhc__hGXyn1-CjodX0/8xaIJCyj_0fZY9QaPhV_Wdh1Su3WLCMXE7fQ8My5rdk),Shield,Shield,,,,20,18,,,,,,,,,A Zora-made shield adorned with intricate ornamentation. It's said that true masters of this shield can redirect attacks as a rock redirects running water.,,,,,,,,,
Soldier's Shield,BotW_Soldier%27s_Shield_Icon.png?version=d1ca0cea2b9bd1294dbe9970b9d9844b (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/U4b8Ng_wS1LZR_-Hfv84wQ/uVVOlL28Kp5KLgg_Y0rAEyd1CnBwioUsziKwT6V-ClR8EQV0-ulZ45zaSQMK3jX6Qt7PnRyPhQz2ZjzgXPFWDgO-ZsdKHInSPvczbkC13krnpJt_u2wFw1QCgXTv8q3p86oUbqO3HnSE9H77Y7NrLn0rZcqD4FRhkwRwkttZXM6EPh0LhukomovpVkNjc6E-/PUOi1zJa7V3Qv4I2C66Qq4Hd7LBcgL-i0aqqpvv-zh0),Shield,Shield,,,,16,16,,,,,,,,,"A shield once used by the guards of Hyrule Castle. It's easy to handle, but its core is made of wood, so it can catch fire.",,,,,,,,,
Spiked Boko Shield,BotW_Spiked_Boko_Shield_Icon.png?version=ff108502c1ce69e3b824e6e968d2eaef (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/I1iqGaEfdApmUVg9DT1aXw/CUCGIExN0OALchEMdG-d3gTojcMB0SiLVOpWNPDTUa5fojnKZdNPN6eqGVAGrNme7jFOqSB2Em11xp0l7rdqaBQBSY2wAE1Ec1406fknCRNxveHKDZDgoe6yEmLYyqD-KOl3PWnA0NWqyyUz2iKn5eifYDywrxkV-ZLQ9yVgayh65F2V8c_grpnxvGi44rRj/cGRURVWvCu55lfP2st66RALDAX76LlUHS8Gxt0mxawU),Shield,Shield,,,,7,10,,,,,,,,,A Boko shield made of slightly stronger wood. It's been reinforced with animal bones.,,,,,,,,,
Steel Lizal Shield,BotW_Steel_Lizal_Shield_Icon.png?version=51059636b7bc56c6680d3e38e1b53c2f (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/ZbND7sjfs4GA3CMZ4wQgkA/VAt4wM1Fk3C76pR4kcvJAkdcUJjJafVV8isRLX5Q7X5DYp81pDMhuSwDbTGcomDX4G3Xi_1jIAiR39AXWuYMPV5e_jARv9SZkqbfQ52tCI1AQrULcG59SSRk8RWEH2HSN5ARUwx0GzwQJMU7fjKD3POuDYqaPFdwgAufnRzBN6jE-LkOeHujKydYTdiOoW58/0TknzMWSWFq2GKQfRFyMzZ3Yn3KMsS2i4Ic7FgYjWq8),Shield,Shield,,,,15,35,,,,,,,,,"This Lizal shield is adorned with several metal shells as a means of reinforcement. Its defensive capabilities are high, but its weight requires a skilled soldier to bear.",,,,,,,,,
Traveler's Shield,BotW_Traveler%27s_Shield_Icon.png?version=0df9107c6dc43b33446f6e001605d561 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/Wyar073EhIyQci4wufyStw/nNP8Ex51p_M0DLJiAP7PosVHFnm4MZXJ6GDMtwitDOqy5KCRWyBHKPIVN31fZGhyVyjeJsmnmdsPDOaJ8isukqZPMYZ-mivROM4DLnLdCMg9GNEnnXl2oULa-A9FFWhVhJRHtnTjRRzDpTcfcOlEFBDvWjl4TF79qRgtV0wnkRipxsTXbjZWXPyBeLBAkgla/qnXxvuNdvVo-7nUdrStJYul9AgrffCx-COM4RWj7heg),Shield,Shield,,,,12,4,,,,,,,,,A sturdy shield loved by many an adventurer. It is made of animal hide and sturdy wood and is best suited to defending against weak monsters or animals.,,,,,,,,,
Wooden Shield,BotW_Wooden_Shield_Icon.png?version=e24122bea180469be7f9b03df063f9ef (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/XLws6VwDfwz4vpuXdvHHuA/bSgSQJa-n5Ln647Uy2FPCLfpQlPjSd6GAoB0MYPlsAN91y8WJJE0KhyOsShiIClP8pC9UOca58mhCHOsATtJJKb-G6B8uFiJYieiw9NTuGKuMHAqZ6-EZoKf795yyFYUTY6CSsyjPP5O6GdjoyhVQOb6W1XfeNwoOodsUnCShPI/9lObWEMZQ40Sm1Gmh47Jveyv5Vl4UyVE1EIBuPUWom0),Shield,Shield,,,,12,2,,,,,,,,,"This lightweight, simple shield is ideal for less-experienced fighters. It can withstand light attacks, but blocking stronger blows is not recommended.",,,,,,,,,
Ancient Bow,BotW_Ancient_Bow_Icon.png?version=a30326b50664bba2d8deb213f7aca1ce (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/sjIKpwDm_IwvS7B2THkVdg/_L1UeVwxJacMR_A2QBSsr00Ue6lK8XLJupy7efo-dAkskvZMoFiliCCWmpkUHQdURa62eFXEWH2yyOxDQ0qrn-cbc4fuUUFoE1-Kz4SxZSWv2Q-B3iWDZ_oPfTiEOU_CQ1uMfcs_F8Ixz7Su1SP-YxBACLrh4jzxBfTCt8DdddE/3qHKRrlGSrUVA_Zs3tVdemwow_WffMoKnixfNbTMySI),Bow,Bow,,,,120,44,1,50,,,,,,,"This bow is the result of Robbie's research. Ancient Sheikah technology allows it heightened functionality, Arrows fired from it travel in a perfectly straight line.",,,,,,,,,
Boko Bow,BotW_Boko_Bow_Icon.png?version=d0177b3bc59fa477e0f3daacbef6eaa4 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/H30D5EivE1Ci_l34SULXdQ/9aorxhRI4ef1BIcJ5wBcEa-bNDin37TBHwsAbJsja7GFI7kg_P8VJLjDCL1cYXtvvz8i5FL9vWpsm4ZDNu2LSuw5PMil1fUicHbKG_0u0WJtKFUv2L4_8FBxpm0HzSM1gMLTVUqIzFoX7I1FCW0tlyY2SBmY25wqNjh9KzOD5rQ/93M9VXTH6rt85MHaPtvqCEFQ8m2Tk6ty62OaLXFUTso),Bow,Bow,,,,16,4,1,20,,,,,,,"A basic Bokoblin bow made of wood. It's made by taking any tree branch and tying a string to either end, so don't expect much in the way of combat effectiveness.",,,,,,,,,
Bow of Light,BotW_Bow_of_Light_Icon.png?version=ea34e5555e026648a11dfc40ad7cfca7 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/_kwEH1r9GJD2rTJVntHYHw/fKRubO9hrE1NInW5B6VzzFR8goUDzWed8kusr5zBbI2OxslCtOwU_byze8CoElzjoU3cVFbeIN8cIy-8nYJR5kPsaX6vjhDEYlppfrJZsUFOr8t2vmV1BOb_I2OgKgIQJKyV1nyipIyd94Gz5O_DM0GpCki1fIxxckCVjF4pd3s/DMdh9cxK_46TnvM7Z1zwDkle0_PMOZSpLNHjjnSrKsE),Bow,Bow,,,,100,100,1,500,,,,,,,"Princess Zelda gave you this bow and arrow for the battle with Dark beast Ganon. When wielded by the hero, it fires arrows of pure light strong enough to oppose the Calamity.",,,,,,,,,
Dragon Bone Boko Bow,BotW_Dragon_Bone_Boko_Bow_Icon.png?version=b798362d2651d960a0436784cbaf6922 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/8U_WHJDi5s7MSOqTznqgdQ/81NmaWH3TOyv9esyj8fTGVEA7J77YIWBRmrpgqkXSv0QILwDtgpOiXWkyBCnXe86U_dDUSQBd8RtVjzozppfUT0F5ILfKybygYPYw2VJzhI4BgQprFVzPzFwL7YEzZ7EDzJ-XOJ5wXAhGecsZDAJin0kKYkwJSh3NDCcWdO6sTPArBJ-8UJAp3VU6QlVgNhK/t9cMBLsQCgtfrfGIXEXFMZGPzIRj423-X_pfXaNcDQQ),Bow,Bow,,,,30,24,1,20,,,,,,,"A Boko bow reinforced by fossils. Bokoblins handpicked the materials it's made from, so it boasts a respectable firepower.",,,,,,,,,
Duplex Bow,BotW_Duplex_Bow_Icon.png?version=85250e7d4d9ed4a4bfe246f29d7d8aad (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/2r7PFcmDrl1cln57ilnMug/p4igkxKy59MjA0ajQqGcentZm25jKQPfhW6zq9n2aSYXR_BsbCspYbkssMqozwU9OYiamqlwEuDo-NgW2_w9IeFO8CaKfrW7xZx02F2Zb6lMsIsnmCU7QRkVrmNu1N-RkIsHHt_IVyDJNJjB6RffXir6S508Zf_mLXTxc_HZYQQ/EUSjPImjQWxjm9So3kkuAglvxI7w1J0HPZaJlowIYlc),Bow,Bow,,,,18,14,2,40,,,,,,,A bow favored by the skilled archers of the Yiga Clan. It's been engineered to fire two arrows at once to ensure your target comes to a swift and none-too-pleasant halt.,,,,,,,,,
Falcon Bow,BotW_Falcon_Bow_Icon.png?version=827ad5483332157164636dfc4235103a (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/QlExEsSp9Yy9ICzk9jo_aQ/uZJZHGX_gGbsA85ZSkwbOKvxJ3lRLQmbYVc1NKNAV8RZ1nNONrzFSsVjTh6E9Ur_q2C9FvWiFzqV3zhNA95LbsD9oGm6bWCQ-jnWJgy1iCSVZrRQwIXHxpRoUaVZL8MOCZR_Irkdv7vV4Ijj5iDdOQaEo_k7qyvfw3ZBTvOTxOg/5Ftu1-9kzR1A3R2gFt5VCxB9pMTThNGF-qbzT_cRe6M),Bow,Bow,,,,50,20,1,40,,,,,,,"A highly refined Rito-made bow created by a master Rito craftsman. Rito warriors favor it for its superior rate of fire, which helps them excel even further at aerial combat.",,,,,,,,,
Forest Dweller's Bow,BotW_Forest_Dweller%27s_Bow_Icon.png?version=5b3dc5b5d6e643ca3fbcdbc4a0cd10ec (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/9VZsS3xOr9pBjMBBsbplzg/0CcnejdeRbmwHxy6jWhzqtZPYDQCMuA6tIVrP7IaMe7OJzQoUdJa9VyR1rS20Dh2nka5v06q4aGFaLSXKkkYUztTjf6qCXz5HY48vef9CP4Yw91RN64k48Srehsxl0ovFD-0T5yCh_7yFsZ7xo1AEY3JbKPHabuTwZ6QRNWNic1snJYqrAxLDUOhXdvtbGlm/52BvOKfp3iwynlRSuR8zdS9kmxJf0pVO96LbdwdQW7A),Bow,Bow,,,,35,15,3,20,,,,,,,"The Koroks made this bow for Hylians. It's crafted from flexible wood and uses sturdy vines for the bowstring. Its construction may be simple, but it fires multiple arrows at once.",,,,,,,,,
Golden Bow,BotW_Golden_Bow_Icon.png?version=fa5b134bf3abb93b5444df5a921ceee5 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/4Z8QDWA8wPown7aQq6sxaA/cLU3Q_e81bP6oe53D2baCQbO-8-JzmQOqvWi1pk0XTe_uSP_nEJ1Qf2xlsP5MneKQt2A4azNNecXWUd5LiyIZy8vJ5PNR2uemn6ScSotvJqcMTM7YC9Wy0c9EW-S6uR7YSbBFC56L7KmF123ROUg6Q3VlAYb-73hh5yWsFwOyW4/FrB7RIXcT1TtaJeDYvc-jQUjYoEOHohmsZswXz5fy2Y),Bow,Bow,,,,60,14,1,40,,,,,,,"This Gerudo-made bow is popular for the fine ornamentations along its limbs. Designed for hunting and warfare alike, this bow was engineered to strike distant targets.",,,,,,,,,
Great Eagle Bow,BotW_Great_Eagle_Bow_Icon.png?version=05bf5d9dc6541b71bec3d14c406dbe55 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/JV_QHFECSzx_12J-7uQZgQ/xDqR5gnXJDhKxTZWQkbtaUwZtoTi3asW25A6jLJgtP1cgHUXMS8OqapRP20sh0Dm5v19k1ohlgjQgrS4jwQ1W2JGGfQDhoeaawcBBshft1i523vbtrbhnlGZqmdq8DFNbCmKh0OLxyABlRKv2gXb28IhNIUpsZYPbV-VaQEdbN4/ttpC_EDuf0OhZwXt-EdC4ADoIqkMu6FtDPlZwFMAZrY),Bow,Bow,,,,60,28,3,40,,,,,,,"A bow without equal wielded by the Rito Champion, Revali. it's said Revali could loose arrows with the speed of a gale, making him supreme in aerial combat.",,,,,,,,,
Knight's Bow,BotW_Knight%27s_Bow_Icon.png?version=fc945fe56e15841eed3288c0f291c4b7 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/gxdlWWVmlRqXcIzFsgYp8A/ombl1yUp1jnppc3vMSIQz6R4OhWr3RTmPk7sTbFNb1xM4xZxC_MkLM7uxjoJHIRIMwWJhGL--IcgYqlqWXComMBCJqWLsbG6cweLE8kWyHyKgIasI64WG0SKStvzA_dcGFoJ47ZypRs9mtdLYaMEC44fvm5LPJxeIXFM9M1Pf3I/-m2DGMhNJ-31T37x1zH4yQpJ1aKAhmmD7-RznJuA2aQ),Bow,Bow,,,,48,26,1,20,,,,,,,"The sturdy metal construction of this bow offers superior durability, while its lack of firing quirks makes it quite reliable. Once favored by the knights at Hyrule Castle.",,,,,,,,,
Lizal Bow,BotW_Lizal_Bow_Icon.png?version=77bdc511a21b419c3b5c966d9ca16a91 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/dIUiRAldOXSQxOBpyp8CoA/YnPnuhQN19t5lsmBIT8D-nftQfbTHHL_QYjB83ddrSC8-Tbdq4SX9ygGcnW1IfeebfWw2B3sBK3iYFTeWgylDyCK2gX7712s7lKZGHgQy6IIwvmsagdNlfz3dNZjN9cRqdW_VlD5Y8hIO08c2K0mxnACH_oSR-oHua6fLmhQUlk/m00SkH874Uw7VhOLscboVhEswr1AQIxxXbOzYt59elo),Bow,Bow,,,,25,14,1,20,,,,,,,A wooden bow created by Lizalfos. It's reinforced by the bones of a large fish - a marked improvement over any standard wooden bow.,,,,,,,,,
Lynel Bow,BotW_Lynel_Bow_Icon.png?version=e320093e356044f3ebd219bd92da16fc (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/SPMKn-zSgOJ1CF6Vw5IAVQ/oxIHYDCdDE8c4gEJS2nln26JGqYreTqyol7vBxfzcUvX_3n2zF_BTb6sRBiiGjZQOGBaofhUmWuUvo99xKxwif5SmSGeFBdb4TTk2Z0ayByTVyivpddw_o9N62kSNuEwvteAYlb3QwDPXumoVemFafLtZ-88m1Af5S-SBCABFT8/Y8wFixlEze_8Scb8NGIZgcnRKziPG-LERAFWo1h5Jbg),Bow,Bow,,,,30,10,3,20,,,,,,,A Lynel-made bow crafted from rough metal. True to the vicious nature of Lynel weaponry. It fires a spread of multiple arrows at once. Ideal for taking down quick-moving targets.,,,,,,,,,
Mighty Lynel Bow,BotW_Mighty_Lynel_Bow_Icon.png?version=a8d6d7e9ea3e62f212dbfd92f899c3a1 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/lAByhllAXEYPu092U31kBw/pyPn3CbCqCd54IN9r3CZ9_I-hdqvnszFlLNLWUlbnWEuH8KXiFA3US6pcSLCMM5SlORd8et-E_zt1-NTYGvba5z-GA-6Y0LoRL_cHvywkDMa6pyvhZ6IoG4OfIy5RX46TJn9tZq1xInyqNogosujXgWbEEYCs2yryXbe9k5k3cely0LONJCMStBhr-Cb1YUA/Uf9-K0rtkoGzAMTTWtb0rU1Td2f6Axjr8Mp3LPG0UpY),Bow,Bow,,,,35,20,3,20,,,,,,,"This massive Lynel bow sports a bowstring made from a metal so tough, mere Hylians have trouble drawing it back.",,,,,,,,,
Phrenic Bow,BotW_Phrenic_Bow_Icon.png?version=710f4b2b707a7678c13f4dc8479f0e30 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/NXDwVZsW7oskEeYJhRsSXg/C2Vl5OD3KZRHg7mNAfPgOHt6cvnEgi3uglUYsGlTAKV06f4L8Itfm5Mj5TKCtvNupnAAGOb5xhWEil8KU81ndKRLaTLnmJ6FToqZz49MZtk_QN5H4jRe5tivOfJhZgSwKpQok2ZB-vmIYKOGz9rQks7xx9PT0a9XtxPT9mNAwAc/vnEd0YAjEC4h3SavtYlTz0OgGPAPDFnDvffmuvt4t24),Bow,Bow,,,,45,10,1,40,,,,,,,A bow passed down through the Sheikah tribe. Concentrating before drawing the string will allow you to target distant enemies as easily as those nearby.,,,,,,,,,
Reinforced Lizal Bow,BotW_Reinforced_Lizal_Bow_Icon.png?version=d6c6113321c0fd797814613ce00fb178 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/oTaVH4_PtlrU1pmwqGF0xw/eV9YzV7kD_v23c1OThhT_o7cZ3Jr3IaTWQcGvUvJTA4qXm26j-QoR1LcceOxuqJUjFmUCuvjO1QV2pP0EcpJNe-bLtrprEg_XKpDaxLgOsdTyiLynoTvQsLxGtzm4ozJIQQWj4HaoGJCEmHm2XOacRbesLr698PcYF78tKNVnc6dA368jK4c4gB_1ylTTNg-/kksf2-GD_jyDUAQJkycZERrzg1-aHHYXMlB6BcC4_9Q),Bow,Bow,,,,35,25,1,20,,,,,,,"A Lizal bow with a grip reinforced by metal. The body is made from the branches of a flexible tree that grows near water, which offers some serious destructive power.",,,,,,,,,
Royal Bow,BotW_Royal_Bow_Icon.png?version=0f40ee3dd823cd32e842f1be67e18806 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/QXW-zjPARpu5353Gz3wMOA/bDQjFEe2Hl6y2e0yKgAI5mcC6CGJB-UsAobSXGWxfPuWBLm8jh-9l_YokohD3wRzt7R7GOJMcDSuJ0Nx-g_qemX4P4MjbmTFC9PK51S-rpZCQ_2yNn5Tqz_AR3T8YQSdW501jOROBguDXh74sgEyD45GDH3c7OXWnzpFD8I3GiE/agFGd9sXSDYJa6hEfVYM873LIVRXS3XX-0DhHtCfDJA),Bow,Bow,,,,60,38,1,20,,,,,,,"In the past, the king of Hyrule presented this bow to only the most talented archers in the land. Its combat capabilities are as impressive as its extravagant design.",,,,,,,,,
Royal Guard's Bow,BotW_Royal_Guard%27s_Bow_Icon.png?version=ca7f8ac0ea73e8da267355c943770cd1 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/8DPpLOwumi1Sdi0eZ9hTqg/UQl-qisMdRENkMLzh5hQ8WjbAJvcPB6y4QUzSYQutC8xGQPwVp3Vohq3LMNOPJx4ZJa-dXE4Y-J_ldb3_N7tTmGaqndSylhPGolWbgF8tlBG4mJmYViSCqmTZuit4UtbI2UiER5gqg7BQ7nvVBc-txnDpYHfFQXgglgAJtiM51Sw470tw3DUIUVw2gVNMF5h/NdPqYk7Fwf88bDCwN8hw4hicLGCGBdE2MxMFA0JTsJc),Bow,Bow,,,,20,50,1,30,,,,,,,"This prototype Sheikah-made bow was designed to fight the Great Calamity. made with anient technology, it boasts a high rate of fire and firepower but has low durability.",,,,,,,,,
Savage Lynel Bow,BotW_Savage_Lynel_Bow_Icon.png?version=34b710a627e78f0e49fbcbf796fa48d5 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/hodsDxW0NbEmAHy_K_oezQ/K8NC6PXLoDqVP_ARkIZpb48S18thYfRwtMGP8rc8wZur5mwzzZlBvaBLyc7SYEXTOvUr_XHSxNhdt3bY0WYEKweLLcXnwqyAehL9GeNmgLQ85b59_1TGxMDGnZ-F1Y4DoCmZevVNY96KmiqUZDYtdr6cMJYoOJwppdxKXB75Ka5AWoeVkOHLXYAfhTkD6moj/3QFJ3djd5kPB6j_ZbtQEOlgnjBDYWIk3FHgda4nDZOA),Bow,Bow,,,,45,32,3,20,,,,,,,This Lynel bow is made from a special steel found at the peak of Death Mountain. It has tremendous stopping power and can pierce thick armor as easily as thin paper.,,,,,,,,,
Silver Bow,BotW_Silver_Bow_Icon.png?version=520eefb145d4ab4ab4d538429420216a (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/ThsmdNpFnMjLDvyCOKC3Tw/V9rPhCih6uoHZIkd6zTEzDBbJyk7qGrC4k-XWBtpaRVlWGlYqTAnWADbVyxNH6M69vVdEOUM9qdiMemkATisRW-xE_Sywl6P--2S8E8RYp_Ba83Ei1ZMaEz7HsxTxNnev0XkXbDUUz3A-ay28NZr1IYxvTMa-vFESLKoEGWuMSM/O6JY3j8CrePfB33qsMClre7wJ2b7Ek8ACFEIuMUVVQc),Bow,Bow,,,,40,15,1,20,,,,,,,"A bow favored by the Zora for fishing. It doesn't boast the highest firepower, but the special metal it's crafted from prioritizes durability.",,,,,,,,,
Soldier's Bow,BotW_Soldier%27s_Bow_Icon.png?version=7d127b0dd53cb5ceae49dc18072b75ee (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/rCicfNg3UcPS5fBI5pepCA/Qqq54GBXuYZC5ZrfBFsHPSe5nP4DUpD3t4cLYRbZfead55pZ460R4bDK1yda0MCIDJVW2sTE4BgXJPBubAc3EtIVKCqcg1jWWwT-aKiQ-LGp5yZFzBCzzer8lLG6QT94bi9tu2-fHh2_hz_G7oICDFuaFYVf3pHmQR29gQ66NQE/uYMO19VMZDSRdf1b0zwyFj5jwv_N5ocfdLMi5LOSZno),Bow,Bow,,,,36,14,1,20,,,,,,,"A bow designed for armed conflict. Inflicts more damage than a civilian bow, but it will still burn if it touches fire.",,,,,,,,,
Spiked Boko Bow,BotW_Spiked_Boko_Bow_Icon.png?version=88969eed0ef1851af54af0c1f1054080 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/kxzNC_G8MJcQw8t2R9TOZg/4GU3HZIrFz0z6-A08lY0pt1_sDEayl7X7t6gy3VmG5PRIaMLYMyJWWr9o2j7Z-uOp0KJ2jFlM13kpqFgavjjI_1fDX9Di5LdLOiWgGiZ_BNmwhLmuwGBbACBvltYRLpb6QF_pzaN-YoPDojAg_yxlsjd6adNG_REGuPNR_bzMaU/VEP0JSatf7t2uyO3-3GjAJambPDQT8FC8GOC5d4Copc),Bow,Bow,,,,20,12,1,20,,,,,,,"An upgraded Boko Bow bound with animal bone to boost its durability and firepower. Its craftsmanship is sloppy, but it's light and easy to use.",,,,,,,,,
Steel Lizal Bow,BotW_Steel_Lizal_Bow_Icon.png?version=5b9ce91a5e76698e215c236e1c35a041 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/JIyF_pHGuoy1HukojRjzNQ/4YOpzhNwqiCJ3F4pbvwZJ9hKBmCSMRVnQSe-eUkPW3WIMeF1VXPgZhdvkf0kMj2xUkIAFdTNNtlHhVxlFBW0Uly5wMpy_T2fZ_EGc6mndCtn31Vpsm75BECvcw-RWCp7y9pac_2d9Q5cP2tYJVcusKWLSGR4Z4M-dGb6nKYoxOg/Z0TAtwPu2NIVD7FoeagccCEG7Mbq0vyGl8cf2n0aUFc),Bow,Bow,,,,50,36,1,20,,,,,,,This bow is wielded by lizalfos who are expert marksmen. The metal that reinforces much of the weapon adds some additional weight but offers heightened durability.,,,,,,,,,
Swallow Bow,BotW_Swallow_Bow_Icon.png?version=25f841cf9a87503c1b213d8e57b10458 (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/wVyPJDOAks6aCBYRdyEHjA/CwEsKxf5on_3WgnpI_dgYBsB08C_eSuI-fZt76o0olPpsx2FWebXnk10o8tgf556kX2C9cmqvViTR1atl6dmgYEN4SXzDruzcpt7ih0JXAxYBIMztShy39J-N7Q02GyJZSgzldrORHuDN8U4_FcKNzCNJuisDtt-sVL9uM8UdGc/5RNKJ17QxMYFk8E-IamchMwcQv-J5D3We6lKWmWvUuc),Bow,Bow,,,,30,9,1,40,,,,,,,"This bow is a favorite among Rito warriors. The bowstring has been specially engineered for aerial combat, which allows it to be drawn faster than a normal bow.",,,,,,,,,
Traveler's Bow,BotW_Traveler%27s_Bow_Icon.png?version=2f79f7129c168202993723b4f0dc127d (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/joSSySroizPlio_6p2Fn_w/20Z4sRYQAWth4u7pFDT_zyMirZ8Co_w7XBo4dMfB3nv9qgkYegPpsxOEczFFHILmLVO1ZR2Ohd-D5t_iPzmhp31_RjmkbX9LqePxU5XkPQTmTHhNu-CSdpdziEJqOwT3PsbDwnp_1j1AukenJsJlFjTm6GZ8jDjWhRQJVUJY1fv8J5DrdFdCWWAHmsV1vz_5/jSA2oSWG3BAoLW55X9raVgnL2Fl3nwEMYPZqk6xbaFY),Bow,Bow,,,,22,5,1,20,,,,,,,"A small bow used by travelers for protection. It doesn't do a lot of damage, but it can be used to attack foes from a distance.",,,,,,,,,
Twilight Bow,BotW_Twilight_Bow_Icon.png?version=ea5d596836c8b089da4fb57e822ca31d (https://v5.airtableusercontent.com/v3/u/35/35/1731434400000/8x7NiE64rTflNcNp1iX9mg/rR8ilJn5zKJ3y-VI4X3WTctpKRP2H-nEkBawk0qbydsd_6u0pcN4gId4tyx965QCB5Gk2jg1-bz3zjDZqp4Ex18MQ2pzlJpsUrydS4Ukn6uGesEdyaO0h0fD_rp1ykaa-ZQ2XW2zFdPx8VFDki1cey_Mqhdn5TfkmvgQtQ3N4p8/8QXBU2P3XhWHSeGg4GpvnKxb1mOi48ZwmLy2egShQyc),Bow,Bow,,,,100,30,1,8000,,,,,,,"A bow used by the princess who fought the beasts of twilight alongside the hero. It's said to contain the spirits of light's power. It fires arrows straight and true, as if beams of light.",,,,,,,,,
